initial_symbols	gene_symbols_(primaries)	ensembl_ids	description
PSMD7	PSMD7	ENSG00000103035	proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]
HDAC3	HDAC3	ENSG00000171720	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]
PSMB8	PSMB8	ENSG00000231631 ENSG00000236443 ENSG00000204264 ENSG00000235715 ENSG00000230669 ENSG00000230034 ENSG00000206298 ENSG00000226201	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]
LONP2	LONP2	ENSG00000102910	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]
EIF2AK1	EIF2AK1	ENSG00000086232	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]
PTPN1	PTPN1	ENSG00000196396	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]
PSMA8	PSMA8	ENSG00000154611	proteasome 20S subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:22985]
HSPB1	HSPB1	ENSG00000106211	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]
YME1L1	YME1L1	ENSG00000136758	YME1 like 1 ATPase [Source:HGNC Symbol;Acc:HGNC:12843]
DDOST	DDOST	ENSG00000244038	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]
CALR	CALR	ENSG00000179218	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]
EIF2AK2	EIF2AK2	ENSG00000055332	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]
ATG4A	ATG4A	ENSG00000101844	autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]
PSMD6	PSMD6	ENSG00000163636	proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]
LONP1	LONP1	ENSG00000196365	lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]
EDEM3	EDEM3	ENSG00000116406	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]
RB1CC1	RB1CC1	ENSG00000023287	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]
EIF2S1	EIF2S1	ENSG00000134001	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]
UBE2J2	UBE2J2	ENSG00000160087	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]
PSMB4	PSMB4	ENSG00000159377	proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]
ATG12	ATG12	ENSG00000145782	autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]
DDIT3	DDIT3	ENSG00000175197	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]
PSMA5	PSMA5	ENSG00000143106	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]
FKBP8	FKBP8	ENSG00000105701	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]
PSMB11	PSMB11	ENSG00000222028	proteasome subunit beta 11 [Source:HGNC Symbol;Acc:HGNC:31963]
